Country,2025pop,Area(km),Density,Change%,Global_pop%,Rank
India,"1,46,38,70,000",3.3M,492,0.89%,18.29%,1
China,"1,41,61,00,000",9.7M,150,-0.23%,17.69%,2
United States,"34,72,76,000",9.4M,38,0.54%,4.34%,3
Indonesia,"28,57,21,000",1.9M,152,0.79%,3.57%,4
Pakistan,"25,52,20,000",881.9K,331,1.57%,3.19%,5
Nigeria,"23,75,28,000",923.8K,261,2.08%,2.97%,6
Brazil,"21,28,12,000",8.5M,25,0.38%,2.66%,7
Bangladesh,"17,56,87,000",147.6K,"1,350",1.22%,2.19%,8
Russia,"14,39,97,000",17.1M,9,-0.57%,1.80%,9
Ethiopia,"13,54,72,000",1.1M,120,2.58%,1.69%,10
Mexico,"13,19,47,000",2M,68,0.83%,1.65%,11
Japan,"12,31,03,000",377.9K,338,-0.53%,1.54%,12
Egypt,"11,83,66,000",1M,119,1.57%,1.48%,13
Philippines,"11,67,87,000",342.4K,392,0.81%,1.46%,14
DR Congo,"11,28,32,000",2.3M,50,3.25%,1.41%,15
Vietnam,"10,15,99,000",331.2K,324,0.61%,1.27%,16
Iran,"9,24,17,700",1.6M,57,0.93%,1.15%,17
Turkey,"8,76,85,400",783.6K,112,0.24%,1.10%,18
Germany,"8,40,75,100",357.1K,241,-0.56%,1.05%,19
Thailand,"7,16,19,900",513.1K,140,-0.07%,0.89%,20
Tanzania,"7,05,45,900",945.1K,80,2.90%,0.88%,21
United Kingdom,"6,95,51,300",242.9K,287,0.60%,0.87%,22
France,"6,66,50,800",551.7K,122,0.15%,0.83%,23
South Africa,"6,47,47,300",1.2M,53,1.16%,0.81%,24
Italy,"5,91,46,300",301.3K,200,-0.33%,0.74%,25
Kenya,"5,75,32,500",580.4K,101,1.95%,0.72%,26
Myanmar,"5,48,50,600",676.6K,84,0.64%,0.69%,27
Colombia,"5,34,25,600",1.1M,48,1.02%,0.67%,28
South Korea,"5,16,67,000",100.2K,529,-0.10%,0.65%,29
Sudan,"5,16,62,100",1.9M,28,2.40%,0.65%,30
Uganda,"5,13,84,900",241.6K,256,2.74%,0.64%,31
Spain,"4,78,90,000",506K,96,-0.04%,0.60%,32
Algeria,"4,74,35,300",2.4M,20,1.33%,0.59%,33
Iraq,"4,70,20,800",438.3K,108,2.13%,0.59%,34
Argentina,"4,58,51,400",2.8M,17,0.34%,0.57%,35
Afghanistan,"4,38,44,100",652.2K,67,2.81%,0.55%,36
Yemen,"4,17,73,900",528K,79,2.93%,0.52%,37
Canada,"4,01,26,700",10M,4,0.97%,0.50%,38
Angola,"3,90,40,000",1.2M,31,3.05%,0.49%,39
Ukraine,"3,89,80,400",603.5K,67,2.96%,0.49%,40
Morocco,"3,84,30,800",446.6K,86,0.92%,0.48%,41
Poland,"3,81,40,900",312.7K,125,-1.03%,0.48%,42
Uzbekistan,"3,70,53,400",447.4K,84,1.90%,0.46%,43
Malaysia,"3,59,77,800",330.8K,110,1.18%,0.45%,44
Mozambique,"3,56,31,700",801.6K,45,2.89%,0.45%,45
Ghana,"3,50,64,300",238.5K,154,1.85%,0.44%,46
Peru,"3,45,76,700",1.3M,27,1.05%,0.43%,47
Saudi Arabia,"3,45,66,300",2.1M,16,1.78%,0.43%,48
Madagascar,"3,27,40,700",587K,56,2.43%,0.41%,49
Ivory Coast,"3,27,11,500",322.5K,103,2.43%,0.41%,50
Cameroon,"2,98,79,300",475.4K,63,2.59%,0.37%,51
Nepal,"2,96,18,100",147.2K,207,-0.11%,0.37%,52
Venezuela,"2,85,16,900",916.4K,32,0.39%,0.36%,53
