Country,Rank,GDP(IMF'24),GDP(UN'22),GDP PER CAPITAL,Population
United States,1,$28.78 Tn,$25.74 Tn,"$82,877","34,72,76,000"
China,2,$18.53 Tn,$17.96 Tn,"$13,087","1,41,61,00,000"
Germany,3,$4.59 Tn,$4.08 Tn,"$54,607","8,40,75,100"
Japan,4,$4.11 Tn,$4.23 Tn,"$33,390","12,31,03,000"
India,5,$3.94 Tn,$3.47 Tn,"$2,689","1,46,38,70,000"
United Kingdom,6,$3.50 Tn,$3.09 Tn,"$50,254","6,95,51,300"
France,7,$3.13 Tn,$2.78 Tn,"$46,961","6,66,50,800"
Brazil,8,$2.33 Tn,$1.92 Tn,"$10,955","21,28,12,000"
Italy,9,$2.33 Tn,$2.05 Tn,"$39,361","5,91,46,300"
Canada,10,$2.24 Tn,$2.14 Tn,"$55,878","4,01,26,700"
Russia,11,$2.06 Tn,$2.24 Tn,"$14,284","14,39,97,000"
Mexico,12,$2.02 Tn,$1.46 Tn,"$15,287","13,19,47,000"
Australia,13,$1.79 Tn,$1.78 Tn,"$66,373","2,69,74,000"
South Korea,14,$1.76 Tn,$1.67 Tn,"$34,083","5,16,67,000"
Spain,15,$1.65 Tn,$1.42 Tn,"$34,394","4,78,90,000"
Indonesia,16,$1.48 Tn,$1.32 Tn,"$5,165","28,57,21,000"
Netherlands,17,$1.14 Tn,$1.01 Tn,"$62,273","1,83,46,800"
Turkey,18,$1.11 Tn,$907.12 Bn,"$12,699","8,76,85,400"
Saudi Arabia,19,$1.11 Tn,$1.11 Tn,"$31,997","3,45,66,300"
Switzerland,20,$938.46 Bn,$818.43 Bn,"$104,652","89,67,410"
Poland,21,$844.62 Bn,$688.13 Bn,"$22,145","3,81,40,900"
Taiwan,22,$802.96 Bn,$0,"$34,741","2,31,12,800"
Belgium,23,$655.19 Bn,$582.64 Bn,"$55,720","1,17,58,600"
Sweden,24,$623.05 Bn,$591.19 Bn,"$58,466","1,06,56,600"
Argentina,25,$604.26 Bn,$631.13 Bn,"$13,179","4,58,51,400"
Ireland,26,$564.02 Bn,$532.42 Bn,"$106,258","53,08,040"
Thailand,27,$548.89 Bn,$495.34 Bn,"$7,664","7,16,19,900"
Austria,28,$540.89 Bn,$470.30 Bn,"$59,350","91,13,570"
