Country,Export Commodity(Tonees),Commodity_Name
Brazil,78.9M,Soya beans
United States,58.6M,Maize (corn)
Argentina,35.4M,Maize (corn)
Australia,28.8M,Wheat
Ukraine,25.2M,Maize (corn)
Indonesia,25M,Palm oil
India,22.1M,"Rice, paddy (rice milled equivalent)"
France,20.2M,Wheat
Canada,18.5M,Wheat
Russia,17.8M,Wheat
Malaysia,12.5M,Palm oil
Thailand,7.7M,"Rice, paddy (rice milled equivalent)"
Ecuador,6.9M,Bananas
Kazakhstan,6.3M,Wheat
Germany,6.2M,Wheat
Romania,5.7M,Wheat
Vietnam,5.4M,"Rice, paddy (rice milled equivalent)"
Paraguay,4.6M,Maize (corn)
Pakistan,4.6M,"Rice, paddy (rice milled equivalent)"
Bulgaria,4.1M,Wheat
South Africa,3.9M,Maize (corn)
Poland,3.9M,Maize (corn)
Turkey,3.2M,Wheat and meslin flour
Belgium,3.1M,"Potatoes, frozen"
Uruguay,3.1M,Soya beans
Lithuania,3M,Wheat
Netherlands,2.8M,Cake of soya beans
Latvia,2.7M,Wheat
Guatemala,2.5M,Bananas
China,2.3M,"Rice, paddy (rice milled equivalent)"
Philippines,2.3M,Bananas
Czech Republic,2.3M,Wheat
Bolivia,2.2M,Cake of soya beans
Colombia,2.2M,Bananas
Myanmar,2.1M,"Rice, paddy (rice milled equivalent)"
Costa Rica,2.1M,Bananas
Hungary,2M,Maize (corn)
Mexico,2M,Tomatoes
Laos,2M,"Cassava, fresh"
Egypt,1.6M,Oranges
Spain,1.6M,Oranges
Italy,1.5M,"Tomatoes, peeled (o/t vinegar)"
Ivory Coast,1.5M,Cocoa beans
New Zealand,1.3M,Whole milk powder
Serbia,1.3M,Maize (corn)
Slovakia,1.2M,Wheat
Moldova,1.2M,Maize (corn)
Uzbekistan,950.3K,Wheat and meslin flour
United Kingdom,898.9K,Barley
Croatia,878.3K,Maize (corn)
Papua New Guinea,874.9K,Palm oil
Morocco,748.2K,Refined sugar
Denmark,738.3K,"Meat of pig with the bone, fresh or chilled"
United Arab Emirates,701K,Refined sugar
Slovenia,681.7K,Cake of soya beans
Austria,647.6K,Wheat
Cambodia,641.2K,"Rice, paddy (rice milled equivalent)"
Chile,606.3K,Grapes
Peru,583.2K,Avocados
Estonia,575.1K,Wheat
Sweden,570.7K,Wheat
Honduras,556K,Bananas
Kenya,552K,Tea leaves
Tanzania,511.1K,Maize (corn)
Ghana,494.1K,Cocoa beans
Mozambique,433.1K,Other pulses n.e.c.
El Salvador,429.6K,Raw cane or beet sugar (centrifugal only)
Greece,423.1K,Wheat
Sri Lanka,413.5K,"Other fibre crops, raw, n.e.c."
Eswatini,399K,Raw cane or beet sugar (centrifugal only)
Saudi Arabia,398.7K,Refined sugar
Sudan,394.8K,"Groundnuts, shelled"
Djibouti,380K,Refined sugar
Iran,375.3K,Watermelons
Belarus,374.1K,"Rapeseed or canola oil, crude"
Guyana,364.8K,"Rice, paddy (rice milled equivalent)"
Dominican Republic,349.3K,Bananas
Singapore,343.1K,Food preparations n.e.c.
Ireland,340.7K,"Meat of cattle boneless, fresh or chilled"
Nicaragua,331.5K,Raw cane or beet sugar (centrifugal only)
Benin,320.5K,"Cotton lint, ginned"
Uganda,298.5K,"Coffee, green"
Panama,297.9K,Bananas
Nigeria,297K,Sesame seed
Iraq,274.2K,Dates
Luxembourg,273.1K,Raw milk of cattle
Ethiopia,273.1K,"Coffee, green"
Afghanistan,271.9K,"Onions and shallots, dry (excluding dehydrated)"
Burkina Faso,263K,"Cotton lint, ginned"
Zambia,261.4K,Maize (corn)
Oman,260.5K,Wheat and meslin flour
South Korea,249.9K,Refined sugar
Portugal,240.3K,Olive oil
Cameroon,236.6K,Cocoa beans
Mali,226.2K,"Cotton, carded or combed"
Finland,225.5K,Oats
Algeria,217.7K,Refined sugar
Bangladesh,215.1K,"Jute, raw or retted"
Tunisia,208.3K,Olive oil
Zimbabwe,188.4K,Unmanufactured tobacco
Senegal,177.4K,"Groundnuts, shelled"
Mauritius,171.7K,Refined sugar
Japan,165.3K,Wheat and meslin flour
Israel,153.5K,Potatoes
Cuba,150.6K,Raw cane or beet sugar (centrifugal only)
Belize,149.9K,Raw cane or beet sugar (centrifugal only)
Azerbaijan,147.6K,Persimmons
Norway,131.9K,Cake of soya beans
Guinea-Bissau,130.4K,"Cashew nuts, in shell"
