Export commodity(Tons),commodity_name,Billionaires per Million people,Billionaire_Name,RichestNetworld(Bn),CrimeIndex,SafetyIndex,Spend on Education %,education.spend per student,Gini coefficient(World_bank)%,Gini coefficient(CIA)%,Area(km),Density,Population_Change%,Global_pop%,Population.Rank,GlobalPeaceIndex(GPI)2024(1-5),Safety_index,GDP.Rank,GDP(IMF'24),GDP(UN'22),GDP PER CAPITAL,Population,Country,Year
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2022
58.6M,Maize (corn),2.42,Elon Musk,$195,49.3,50.7,0.054,"$15,500",41.30%,39.80%,9.4M,38,0.0054,4.34%,3,2.622,68,1,$28.78 Tn,$25.74 Tn,"$82,877",347276000,United States,2021
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
