Country,GlobalPeaceIndex(GPI)2024(1-5)
Iceland,1.112
Austria,1.124
Ireland,1.124
New Zealand,1.323
Singapore,1.339
Switzerland,1.35
Portugal,1.372
Denmark,1.382
Slovenia,1.395
Malaysia,1.427
Canada,1.449
Czech Republic,1.459
Finland,1.474
Hungary,1.502
Croatia,1.504
Belgium,1.51
Japan,1.525
Netherlands,1.527
Australia,1.536
Germany,1.542
Bhutan,1.564
Mauritius,1.577
Spain,1.597
Estonia,1.615
Kuwait,1.622
Bulgaria,1.629
Slovakia,1.634
Norway,1.638
Qatar,1.656
Latvia,1.661
Lithuania,1.672
Poland,1.678
Italy,1.692
United Kingdom,1.703
Montenegro,1.746
Romania,1.755
Oman,1.761
North Macedonia,1.764
Sweden,1.782
Greece,1.793
Vietnam,1.802
Albania,1.809
Taiwan,1.818
Madagascar,1.838
Mongolia,1.845
South Korea,1.848
Argentina,1.855
Indonesia,1.857
Laos,1.861
Botswana,1.863
Timor-Leste,1.882
Uruguay,1.893
United Arab Emirates,1.897
Serbia,1.93
Ghana,1.938
Zambia,1.948
Costa Rica,1.95
Kazakhstan,1.954
Uzbekistan,1.957
Bosnia and Herzegovina,1.961
Namibia,1.972
Moldova,1.976
Chile,1.978
Tanzania,1.987
Sierra Leone,1.993
Jordan,1.998
Bolivia,2.009
Liberia,2.025
Cambodia,2.028
Tajikistan,2.035
Angola,2.043
Tunisia,2.044
Paraguay,2.044
Thailand,2.048
Armenia,2.052
Kyrgyzstan,2.053
Morocco,2.054
Malawi,2.063
Nepal,2.069
Bahrain,2.072
Turkmenistan,2.079
Gambia,2.079
Senegal,2.084
Guinea-Bissau,2.085
France,2.088
Trinidad and Tobago,2.092
China,2.101
Cyprus,2.101
Algeria,2.11
Jamaica,2.119
Rwanda,2.12
Bangladesh,2.126
Equatorial Guinea,2.132
Mauritania,2.136
Panama,2.14
Dominican Republic,2.157
Cuba,2.16
Peru,2.179
Sri Lanka,2.195
Georgia,2.195
Saudi Arabia,2.206
Eswatini,2.209
Philippines,2.21
Egypt,2.212
Azerbaijan,2.248
Mozambique,2.25
El Salvador,2.25
Ivory Coast,2.255
Republic of the Congo,2.261
Guyana,2.286
Belarus,2.291
Nicaragua,2.295
Benin,2.306
Papua New Guinea,2.315
India,2.319
Guatemala,2.332
Gabon,2.372
Djibouti,2.374
Togo,2.381
Zimbabwe,2.396
Kenya,2.409
Honduras,2.415
Guinea,2.423
Lesotho,2.461
Uganda,2.477
South Africa,2.507
Libya,2.528
Burundi,2.567
Ecuador,2.572
Brazil,2.589
United States,2.622
Iran,2.682
Lebanon,2.693
Chad,2.704
Eritrea,2.748
Cameroon,2.773
Mexico,2.778
Turkey,2.78
Pakistan,2.783
Niger,2.792
Venezuela,2.821
Haiti,2.827
Ethiopia,2.845
Palestine,2.872
Colombia,2.887
Nigeria,2.907
Myanmar,2.943
Burkina Faso,2.969
Central African Republic,3.009
Iraq,3.045
North Korea,3.055
Somalia,3.091
Mali,3.095
Israel,3.115
Syria,3.173
Russia,3.249
DR Congo,3.264
Ukraine,3.28
Afghanistan,3.294
South Sudan,3.324
Sudan,3.327
Yemen,3.397
Total,2.149
